source,Relate,Duplicate,Subtask,Clone,Block,Depend,Epic,Split,Incorporate,Bonfire Testing,Cause,Coverage
Apache,28.28433692,10.13617863,32.75754886,1.6894282699999998,6.0793612900000005,5.08626993,4.88960656,0.010165500000000001,4.07832128,0.030887489999999997,1.21438653,94.25649125999999
Hyperledger,17.21663395,3.91315015,27.56378803,2.92566241,8.24337586,,39.61604514,0.47841020999999995,,0.04293425,,100.0
IntelDAOS,39.32281647,9.696036939999999,10.54251635,1.46210081,25.548287800000004,,,,,,,86.57175837
JFrog,27.37689687,19.91328585,36.04831217,0.8361721900000001,,7.92815113,,,1.36265098,,,93.46546919000001
Jira,63.76240996,21.72432102,2.4774842500000003,2.87119687,0.9887897099999999,0.16529919,,0.1813282,2.45344073,0.22741162,1.7872348999999998,96.63891645
JiraEcosystem,22.92507457,15.274609580000002,20.038603260000002,1.76346727,5.948412,1.1142305700000001,24.2498684,1.19319179,1.78978768,0.89489384,3.86032637,99.05246532999999
MariaDB,51.06033657,9.39937064,6.09522506,,12.99083322,,6.44411,0.15049938000000002,7.8943768,,5.965248320000001,99.99999998999999
Mindville,43.18181818,38.63636364,,15.909090910000002,2.27272727,,,,,,,100.00000000000001
Mojang,9.4544999,90.00682049,,0.30158634,0.11089098,,,,,0.12620229000000002,,99.99999999999999
MongoDB,39.910060949999995,13.45481895,1.39139155,0.31651024,,22.86081384,15.902289219999998,1.1782955499999999,,,1.69536673,96.70954703
Qt,22.41615759,10.57972821,24.445829699999997,0.08477746,0.03490837,15.609026309999999,13.534472010000002,6.727340730000001,,,,93.43224038
RedHat,25.9098012,4.94112928,20.8307916,15.43674636,15.196918170000002,,,0.1353734,8.90873994,,2.6473021400000003,94.00680209000001
Sakai,49.03802454,9.347068629999999,17.03277281,4.7922032,0.03029844,13.01822956,,,6.73635308,0.0050497400000000005,,100.00000000000001
SecondLife,29.4770206,,49.76228209,7.60697306,,4.43740095,,,2.21870048,,,93.50237718
Sonatype,39.97760358,7.65957447,30.078387460000002,,,3.6282194800000003,0.20156775000000002,0.13437849999999998,,8.08510638,5.2631578900000004,95.02799551000001
Spring,47.725072600000004,12.06610427,13.421380169999999,0.09680542,,12.07993362,11.30549025,,,,,96.69478633
Mean,34.814910278125,18.449904049999997,20.891879525714284,4.006622915,7.040436646363637,8.592757458,14.517931166249998,1.1321092511111113,4.43029637125,1.3446408014285713,3.2047175542857143,96.209928069375
Standard Deviation,14.300337254069287,21.54601733348142,13.762800251743132,5.358623910713736,8.084743419305505,7.19685009111716,12.539530792933165,2.1463646977196067,2.992369892904245,2.9884174718505343,1.8640035836733841,3.7068528997443067
