Source,#Issues,#Links,#Linktypes,#Projects,%IssuesWithLinks,%CrossProject
Apache,1014926,255767,16,646,0.285,5.23
Hyperledger,28146,16304,8,32,0.549,4.62
IntelDAOS,9474,2599,11,2,0.308,3.27
JFrog,15535,3229,10,10,0.286,8.24
Jira,274545,99819,16,30,0.467,43.42
JiraEcosystem,41866,11398,14,101,0.33,6.77
MariaDB,31229,14618,8,11,0.445,2.54
Mindville,2134,44,4,7,0.04,4.55
Mojang,420819,215527,5,8,0.537,5.43
MongoDB,137172,63821,14,27,0.452,19.09
Qt,148579,40105,11,21,0.302,6.92
RedHat,353000,119669,15,241,0.392,23.54
Sakai,50550,19803,8,53,0.424,1.37
SecondLife,1867,631,6,2,0.399,2.38
Sonatype,87284,4465,11,5,0.07,1.5
Spring,69156,14462,7,80,0.256,9.96
