,Epic,Relate,Subtask,Duplicate,Block,Non-Link,Cause,Incorporate,Clone,Depend,Split
Epic,0.98,0.03,0.01,0.01,0.01,0.02,0.02,0.02,0.0,0.16,0.12
Relate,0.0,0.62,0.05,0.35,0.25,0.4,0.41,0.22,0.22,0.2,0.29
Subtask,0.01,0.03,0.89,0.03,0.08,0.07,0.01,0.12,0.0,0.04,0.0
Duplicate,0.0,0.16,0.01,0.47,0.08,0.07,0.22,0.05,0.15,0.16,0.0
Block,0.0,0.04,0.01,0.03,0.36,0.05,0.02,0.02,0.02,0.12,0.08
Non-Link,0.0,0.05,0.02,0.03,0.04,0.28,0.03,0.1,0.0,0.08,0.08
Cause,0.0,0.04,0.0,0.04,0.07,0.07,0.25,0.2,0.02,0.04,0.08
Incorporate,0.0,0.01,0.0,0.01,0.07,0.03,0.02,0.27,0.0,0.0,0.04
Clone,0.0,0.01,0.0,0.03,0.01,0.0,0.0,0.0,0.5,0.0,0.04
Depend,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.2,0.0
Split,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.08,0.0,0.25
